"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","589","255","334"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","607","370","237"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","801","439","362"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","600","308","292"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","693","199","494"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","618","389","229"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","740","449","291"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","552","350","202"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","589","279","310"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","632","273","359"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","606","317","289"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","824","452","372"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","4","255","110","145"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","624","323","301"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","635","409","226"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","26","667","293","374"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","579","379","200"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","780","476","304"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","739","209","530"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","599","284","315"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","27","879","484","395"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","642","335","307"
